Station Name,Region,Stn Number,Stn Type,Address,Alternate Address,Phone,Fax
Cooktown Fire Station,FNR,39,Auxiliary,115 Hope St Cooktown 4895,,07 4232 5470,
Coolum Fire Station,NCR,72,Auxiliary,19 Russell Street Coolum 4573,cnr Russell and Elizabeth Sts,07 5479 7883,
Cooran Fire Station,NCR,53,Auxiliary,50 Queen St Cooran 4569,,07 5480 5465,
Cooroy Fire Station,NCR,54,Auxiliary,16 Myall St Cooroy 4563,,07 5480 5465,
Craignish Fire Station,NCR,37,Auxiliary,67 Castles Road Craignish 4655,,07 4190 4831,
Crows Nest Fire Station,SWR,16,Auxiliary,28 Creek St Crows Nest 4355,,07 4616 1900,
Cunnamulla Fire Station,SWR,65,Auxiliary,1 Emma Street Cunnamulla 4470,,07 4656 5802,
Dalby Fire Station,SWR,32,Auxiliary,21 New St Dalby 4405,,07 4596 9400,
Dayboro Fire Station,BR,83,Auxiliary,27 Bradley St Dayboro 4521,,07 3285 7049,
Deception Bay Fire Station,BR,27,Auxiliary,26 Endeavour St Deception Bay 4508,,07 3888 7644,
Dimbulah Fire Station,FNR,38,Auxiliary,1 Raleigh St Dimbulah 4872,,07 4091 9290,
Dirranbandi Fire Station,SWR,45,Auxiliary,4 Cowildi St Dirranbandi 4486,,07 4671 8112,
Dunwich Fire Station,BR,61,Auxiliary,29 Mitchell Cr Dunwich 4183,,07 3383 1142,
Durack Fire Station,BR,18,Permanent,506 Blunder Road Durack 4077,,07 3710 1277,
Dysart Fire Station,CR,20,Auxiliary,27 Queen Elizabeth Dr Dysart 4745,,07 4965 6621,
Eatons Hill Fire Station,BR,24,Permanent,3 Eatons Crossing Road Warner 4037,South Pine Rd,07 3264 5819,
Eidsvold Fire Station,NCR,22,Auxiliary,35 Golden Spur St Eidsvold 4627,,07 4140 8040,
El Arish Fire Station,FNR,24,Auxiliary,7 Ryrie St El Arish 4855,,07 4061 0600,
Elliott Heads Fire Station,NCR,18,Auxiliary,100 Welch St Elliott Heads 4670,,07 4150 7900,
Emerald Fire Station,CR,65,Permanent/Auxiliary,2A Andrews Rd Emerald 4720,,07 4983 7586,07 4983 7588
Emu Park Fire Station,CR,32,Permanent/Auxiliary,87 Hartley St Emu Park 4702,cnr Hartley And Connor Sts,07 4939 6011,07 4938 7283
Enoggera Fire Station,BR,8,Permanent,236 Lloyd St Enoggera 4051,,07 3247 4721,
Esk Fire Station,SER,79,Auxiliary,12 Heap St Esk 4312,,07 5468 3301,
Forest Hill Fire Station,SER,76,Auxiliary,4 William St Forest Hill 4342,,07 5468 3301,
Forrest Beach Fire Station,NR,26,Auxiliary,Maple St Forrest Beach 4850,,07 4729 9153,
Gatton Fire Station,SER,77,Permanent/Auxilary,58 North St Gatton 4343,,07 5468 3300,
Gayndah Fire Station,NCR,23,Auxiliary,8 Pineapple St Gayndah 4625,,07 4140 8040,
Gin Gin Fire Station,NCR,14,Auxiliary,24 Mulgrave St Gin Gin 4670,,07 4150 7900,
Giru Fire Station,NR,24,Auxiliary,12 Brookes St Giru 4809,cnr Walton And Brookes Sts,07 4729 9151,
Gladstone Fire Station,CR,44,Permanent/Auxiliary,3 Charles St West Gladstone 4680,,07 4979 6589,07 4979 6559
Glenden Fire Station,CR,21,Auxiliary,6 Bell Pl Glenden 4743,,07 4965 6621,
Goombungee Fire Station,SWR,15,Auxiliary,4 Anvil Court Goombungee 4354,,07 4616 1900,
Goomeri Fire Station,NCR,26,Auxiliary,4 Moore St Goomeri 4601,,07 4140 8040,
Goondiwindi Fire Station,SWR,41,Auxiliary,170 Marshall St Goondiwindi 4390,,07 4671 8112,
Gordonvale Fire Station,FNR,14,Auxiliary,27 Gilles Range Road Gordonvale 4865,,07 4056 4800,
Gracemere Fire Station,CR,38,Auxiliary,34 Bland Street Gracemere 4702,cnr Bland And Fisher Sts,07 4927 1277,
Gympie Fire Station,NCR,51,Permanent / Auxiliary,6 Bligh St Gympie 4570,cnr Bligh St and Nelson Rd,07 5480 5443,
Halifax Fire Station,NR,27,Auxiliary,5 Rosendale St Halifax 4850,,07 4729 9153,
Harrisville Fire Station,SER,71,Auxiliary,50 Queen St Harrisville 4307,,07 5541 4576,
Helensvale Fire Station,SER,36,Permanent,1 Discovery Dr Helensvale 4212,,07 5529 4215,07 5529 4216
Helidon Fire Station,SER,78,Auxiliary,13 Railway St Helidon 4344,,07 5468 3301,
Hendra Fire Station,BR,11,Permanent,451 Nudgee Rd Hendra 4011,,07 3008 9400,
Herberton Fire Station,FNR,32,Auxiliary,43 Grace St Herberton 4887,,07 4091 9290,
Highfields Fire Station,SWR,17,Auxiliary,49 OBrien Road Highfields 4352,cnr O'Brien Road and Community Court,07 4616 1900,
Hollywell Fire Station,SER,37,Permanent,318 Bayview St Hollywell 4215,,07 5564 1307,07 5577 5368
Home Hill Fire Station,NR,25,Auxiliary,83 Tenth Av Home Hill 4806,,07 4729 9151,
Hughenden Fire Station,NR,33,Auxiliary,4 Swanson St Hughenden 4821,cnr Swanson And McLaren Sts,07 4747 2355,
Imbil Fire Station,NCR,52,Auxiliary,113 Yabba Rd Imbil 4570,,07 5480 5465,
Ingham Fire Station,NR,28,Permanent/Auxiliary,15 Eleanor Street Ingham 4850,,07 4761 7410,07 4761 7411
Inglewood Fire Station,SWR,27,Auxiliary,32 Albert St Inglewood 4387,,07 4667 5166,
Injune Fire Station,SWR,52,Auxiliary,58 Ronald St Injune 4454,,07 4578 0005,
Innisfail Fire Station,FNR,25,Permanent / Auxiliary,48 Fitzgerald Esplanade Innisfail 4860,,07 4063 4011,
Jandowae Fire Station,SWR,34,Auxiliary,55 High St Jandowae 4410,,07 4596 9400,
Jimboomba Fire Station,SER,59,Auxiliary,22-24 Johanna St Jimboomba 4285,,07 3884 8200,
Julia Creek Fire Station,NR,34,Auxiliary,66 Burke St Julia Creek 4823,,07 4747 2355,
Kalbar Fire Station,SER,70,Auxiliary,66 George St Kalbar 4309,,07 5541 4576,
Karana Downs Fire Station,SER,44,Permanent,2 College Rd Karana Downs 4306,,07 3026 4051,07 3026 4053
Kawana Fire Station,NCR,83,Auxiliary,194 Nicklin Way Warana 4575,,07 5420 7510,
Kemp Place Fire Station,BR,1,Permanent,21 Martin Street Fortitude Valley 4006,,07 3362 9923,
Kenilworth Fire Station,NCR,75,Auxiliary,10 Phillip St Kenilworth 4574,,07 5479 7883,
Kilcoy Fire Station,BR,82,Auxiliary,17 Mccauley St Kilcoy 4515,,07 3888 7644,
Kilkivan Fire Station,NCR,27,Auxiliary,22 Bligh St Kilkivan 4600,,07 4140 8040,
Killarney Fire Station,SWR,24,Auxiliary,29 Ivy St Killarney 4373,,07 4667 5166,
Kingaroy Fire Station,NCR,62,Permanent / Auxiliary,25 Edward Street Kingaroy 4610,cnr Edward and Kent Sts,07 4172 8701,
KippaRing Fire Station,BR,26,Permanent,66 Boardman Road Kippa Ring 4021,,07 3384 2900,
Kirwan Fire Station,NR,13,Permanent,84 Thuringowa Drive Thuringowa Central 4817,,07 4773 3255,07 4723 6659
Kooralbyn Fire Station,SER,67,Auxiliary,Salisbury Kooralbyn 4285,,07 5541 4576,
Kumbia Fire Station,NCR,63,Auxiliary,16 Gordon St Kumbia 4610,,07 4172 8701,
Kuranda Fire Station,FNR,15,Auxiliary,10 Coondoo St Kuranda 4872,,07 4232 5470,
Kurrimine Beach Fire Station,FNR,26,Auxiliary,Murdering Pt Rd Kurrimine Beach 4871,,07 4061 0600,
Laidley Fire Station,SER,75,Auxiliary,56 William St Laidley 4341,,07 5468 3301,
Loganlea Fire Station,SER,41,Permanent,739 Kingston Rd Waterford West 4131,cnr Kingston and Logan Reserve Rds,07 3884 2550,07 3884 2559
Longreach Fire Station,CR,75,Auxiliary,134 Eagle St Longreach 4730,,07 4658 1005,07 4658 3566
Lowood Fire Station,SER,74,Auxiliary,52 Main St Lowood 4311,,07 5468 3301,
Mackay Fire Station,CR,12,Permanent,90 Sydney St Mackay 4740,Corner Alfred And Sydney Sts,07 4944 8000,07 4957 5118
Magnetic Island Fire Station,NR,16,Auxiliary,54 Kelly St Nelly Bay 4819,,07 4729 9153,
Malanda Fire Station,FNR,33,Auxiliary,23 James St Malanda 4885,,07 4091 9290,
Maleny Fire Station,NCR,84,Auxiliary,63 Bunya St Maleny 4552,,07 5420 7510,
Marburg Fire Station,SER,72,Auxiliary,75 Edmond St Marburg 4346,,07 5468 3301,
Mareeba Fire Station,FNR,37,Permanent / Auxiliary,20 Mammino St Mareeba 4880,,07 4092 1044,07 4092 2557
Maroochydore Fire Station,NCR,74,Permanent,Claremont St Maroochydore 4556,,07 5479 7880,
Maryborough Fire Station,NCR,32,Permanent / Auxiliary,98 Alice St Maryborough 4650,cnr Alice and Lennox Sts,07 4190 4801,
Meandarra Fire Station,SWR,37,Auxiliary,Lot 2 Olser St Meandarra 4422,cnr Payne and Olser Sts,07 4596 9400,
Middlemount Fire Station,CR,66,Auxiliary,85 Centenary Dr Middlemount 4746,,07 4983 7590,
Miles Fire Station,SWR,36,Auxiliary,46 Marian St Miles 4415,,07 4596 9400,
Millaa Millaa Fire Station,FNR,34,Auxiliary,1 Maple St Millaa Millaa 4886,,07 4091 9290,
Millmerran Fire Station,SWR,44,Auxiliary,2 Attleigh St Millmerran 4357,,07 4671 8112,
Miriam Vale Fire Station,CR,45,Auxiliary,65 Roe St Miriam Vale 4677,,07 4899 2210,
Mission Beach Fire Station,FNR,27,Auxiliary,4 Webb Rd Mission Beach 4852,,07 4061 0600,
Mitchell Fire Station,SWR,64,Auxiliary,66 Mary St Mitchell 4465,,07 4656 5802,
Monto Fire Station,NCR,24,Auxiliary,15 Kelvin St Monto 4630,,07 4140 8040,
Mooloolah Fire Station,NCR,85,Auxiliary,69 King Road Mooloolah 4552,,07 5420 7510,
Moranbah Fire Station,CR,23,Auxiliary,13 Griffin St Moranbah 4744,,07 4965 6621,
Morven Fire Station,SWR,66,Auxiliary,29-31 Eurella St Morven 4468,,07 4656 5802,
Mossman Fire Station,FNR,17,Auxiliary,16 Theresa St Mossman 4873,,07 4232 5470,
Mount Isa Fire Station,NR,35,Permanent/Auxiliary,35 West St Mount Isa City 4825,cnr West And Helen Sts,07 4747 2398,
Mount Morgan Fire Station,CR,33,Permanent/Auxiliary,32 Morgan St Mount Morgan 4714,,07 4938 1005,07 4938 1511
Mount Ommaney Fire Station,BR,20,Permanent,238 Arrabri Av Mount Ommaney 4074,,07 3033 8600,
Mount Tamborine Fire Station,SER,64,Auxiliary,126 Main Western Rd Tamborine Mountain 4272,,07 5541 4576,
Moura Fire Station,CR,47,Auxiliary,7 Gilchrist St Moura 4718,,07 4899 2210,
Mundubbera Fire Station,NCR,25,Auxiliary,31 Bauer St Mundubbera 4626,,07 4140 8040,
Murgon Fire Station,NCR,68,Auxiliary,62 Gore St Murgon 4605,,07 4172 8701,
Nambour Fire Station,NCR,73,Permanent / Auxiliary,678 Bli Bli Rd Nambour 4560,,07 5374 8400,
Nanango Fire Station,NCR,64,Auxiliary,14 Alfred St Nanango 4615,,07 4172 8701,
Nerang Fire Station,SER,39,Permanent,139 Beaudesert-Nerang Rd Nerang 4211,,07 5558 1818,07 5558 1819
Noosa Heads Fire Station,NCR,56,Permanent,2 Langura St Noosa Heads 4567,Unit 4 Leo Alley Road (Temp location end 19/12/11),07 5473 8484,
North Mackay Fire Station,CR,14,Permanent/Auxiliary,49 Beaconsfield Rd North Mackay 4740,,07 4965 6671,07 4965 6670
North Rockhampton Fire Station,CR,34,Permanent,753 Yaamba Road Parkhurst 4701,,07 4936 4281,07 4936 4283
Oakey Fire Station,SWR,14,Auxiliary,5 Desmond St Oakey 4401,,07 4616 1900,
Petrie Fire Station,BR,25,Permanent,4-6 Young St Petrie 4502,,07 3897 7804,
Pittsworth Fire Station,SWR,13,Auxiliary,5 Krinke St Pittsworth 4356,,07 4616 1900,
Point Lookout Fire Station,BR,63,Auxiliary,85 East Coast Road Point Lookout 4183,,07 3383 1142,
Pomona Fire Station,NCR,55,Auxiliary,9-13 Reserve St Pomona 4568,,07 5480 5465,
Port Douglas Fire Station,FNR,16,Auxiliary,5 Port Douglas Rd Port Douglas 4871,,07 4232 5470,07 4099 5783
Proserpine Fire Station,CR,29,Auxiliary,102 Main St Proserpine 4800,,07 4965 6621,
Proston Fire Station,NCR,69,Auxiliary,14 Collingwood St Proston 4613,,07 4172 8701,
Pullenvale Fire Station,BR,19,Permanent,6 Pullenvale Rd Pullenvale 4069,,07 3878 1052,
Quilpie Fire Station,SWR,62,Auxiliary,61 Pegler St Quilpie 4480,,07 4656 5802,
Rainbow Beach Fire Station,NCR,34,Auxiliary,25 Rainbow Beach Road Rainbow Beach 4581,,07 4190 4831,
Rathdowney Fire Station,SER,68,Auxiliary,Running Creek Rd Rathdowney 4287,,07 5541 4576,
Ravenshoe Fire Station,FNR,35,Auxiliary,16 Theta St Ravenshoe 4888,,07 4091 9290,
Redland Bay Fire Station,BR,6,Permanent,33 Gordon Road Redland Bay 4165,,07 3829 1403,
Richmond Fire Station,NR,36,Auxiliary,43 Goldring St Richmond 4822,,07 4747 2355,
Ripley Fire Station,SER,48,Permanent,338-396 Ripley Rd Ripley 4306,,07 3294 4999,07 3294 4995
Robina Fire Station,SER,40,Permanent,54 Investigator Dr Robina 4226,,07 5583 1991,07 5583 1990
Rockhampton Fire Station,CR,35,Permanent,113 Kent St Rockhampton 4700,,07 4930 0500,
Rocklea Fire Station,BR,13,Permanent,93 Medway St Rocklea 4106,,07 3362 9992,
Roma Fire Station,SWR,51,Permanent/Auxiliary,41 Mcdowall St Roma 4455,,07 4578 0005,
Roma Street Fire Station,BR,2,Permanent,279 Upper Roma St Brisbane City 4101,,07 3247 5538,
Rosewood Fire Station,SER,73,Auxiliary,70 John St Rosewood 4340,,07 5468 3301,
Sandgate Fire Station,BR,14,Permanent,124 Brighton Rd Sandgate 4017,,07 3869 0473,
Sarina Fire Station,CR,26,Auxiliary,12 Anzac St Sarina 4737,,07 4965 6621,
Smithfield Fire Station,FNR,12,Permanent,12 Lesley St Smithfield 4870,,074245 9300,
Southport Fire Station,SER,31,Permanent,229 Nerang Rd Southport 4215,cnr Prince St and Nerang Rd,07 5583 7531,07 5583 7530
Springsure Fire Station,CR,67,Auxiliary,52 Wood St Springsure 4722,,07 4983 7590,
St George Fire Station,SWR,46,Auxiliary,37-39 Henry St St George 4487,,07 4671 8112,
Stanthorpe Fire Station,SWR,25,Auxiliary,54 Lock St Stanthorpe 4380,,07 4667 5166,
Surat Fire Station,SWR,53,Auxiliary,45 Cordelia St Surat 4417,,07 4578 0005,
Surfers Paradise Fire Station,SER,32,Permanent,2794 Gold Coast Hwy Surfers Paradise 4218,,07 5583 9932,07 5583 9930
Taigum Fire Station,BR,21,Permanent,263 Beams Road Taigum 4018,,07 3865 3605,
Tara Fire Station,SWR,33,Auxiliary,21 Fry St Tara 4421,cnr Fry And Smallcombe Sts,07 4596 9400,
Taringa Fire Station,BR,12,Permanent,26 Whitmore St Taringa 4068,,07 3362 9994,
Taroom Fire Station,SWR,56,Auxiliary,12 Kinnoul St Taroom 4420,,07 4578 0005,
Tewantin Fire Station,NCR,57,Auxiliary,2 Hilton Esp Tewantin 4565,,07 5480 5465,
Texas Fire Station,SWR,43,Auxiliary,16 St John St Texas 4385,,07 4671 8112,
Thangool Fire Station,CR,48,Auxiliary,25 Stanley St Thangool 4716,,07 4899 2210,
Theodore Fire Station,CR,49,Auxiliary,31 Fifth Av Theodore 4719,,07 4899 2210,
Thursday Island Fire Station,FNR,3,Permanent / Auxiliary,Neville Gully Rd Thursday Island 4875,,07 4069 1275,07 4069 1955
Tieri Fire Station,CR,68,Auxiliary,3 Malvern Av Tieri 4709,,07 4983 7590,
Tin Can Bay Fire Station,NCR,35,Auxiliary,Lot 1 Snapper Creek Rd Tin Can Bay 4580,,07 4190 4831,
Toogoolawah Fire Station,SER,80,Auxiliary,20 Cressbrook St Toogoolawah 4314,,07 5468 3301,
Toowoomba Fire Station,SWR,11,Permanent,11 Kitchener St Toowoomba 4350,,07 4698 5830,074698 5837
Torquay Fire Station,NCR,36,Permanent / Auxiliary,227 Torquay Tce Torquay 4655,,07 4338 5400,
Townsville Fire Station,NR,14,Permanent,2-8 Morey St Townsville 4810,,07 4729 9135,07 4729 9137
Tully Fire Station,FNR,28,Auxiliary,Lot 600 Murray St Tully 4854,,07 4061 0600,
Walkerston Fire Station,CR,17,Auxiliary,21 Dutton St Walkerston 4751,,07 4965 6623,
Wallangarra Fire Station,SWR,26,Auxiliary,53 Margetts St Wallangarra 4383,,07 4667 5166,
Wallaville Fire Station,NCR,15,Auxiliary,9 Mill St Wallaville 4671,,07 4150 7900,
Wandoan Fire Station,SWR,55,Auxiliary,51 North St Wandoan 4419,Corner North And Waterloo Sts,07 4578 0005,
Warwick Fire Station,SWR,21,Permanent/Auxiliary,23 Canning St Warwick 4370,,07 4667 5167,07 4667 5160
West Logan Fire Station,SER,42,Permanent,2 Orr Crt Hillcrest 4118,,07 3884 7660,07 3884 7669
Windsor Fire Station,BR,4,Permanent,7 Truro St Windsor 4030,cnr Truro and Fosbery Sts,07 3247 5564,
Winton Fire Station,CR,76,Auxiliary,69 Vindex St Winton 4735,,07 4658 1005,07 4657 1592
Wishart Fire Station,BR,17,Permanent,203 Dawson Rd Wishart 4122,cnr Dawson And Newnham Roads,07 3247 5551,
Wondai Fire Station,NCR,60,Auxiliary,82 Mackenzie St Wondai 4606,,07 4172 8701,
Woodford Fire Station,BR,81,Auxiliary,2366 DAguilar Highway Woodford 4514,,07 3888 7644,
Woodlands Fire Station,NR,11,Permanent,1 Abattoir Road Woodlands 4818,,07 4774 4087,07 4774 4537
Woodridge Fire Station,SER,38,Permanent,95 Kingston Rd Woodridge 4114,,07 3441 8101,07 3441 8103
Wooroolin Fire Station,NCR,65,Auxiliary,45 Alexander St Wooroolin 4608,Bunya Hwy,07 4172 8701,
Wulguru Fire Station,NR,15,Permanent,171 Stuart Dr Wulguru 4811,,07 4778 4313,07 4778 1737
Wynnum Fire Station,BR,15,Permanent,2006 Wynnum Rd Wynnum West 4178,,07 3396 3297,
Yarraman Fire Station,NCR,66,Auxiliary,12 Browne St Yarraman 4614,,07 4172 8701,
Yelarbon Fire Station,SWR,42,Auxiliary,32 Taloom St Yelarbon 4388,,07 4671 8112,
Yeppoon Fire Station,CR,37,Permanent/Auxiliary,16 Mcbean St Yeppoon 4703,,07 4939 1608,07 4939 2324
Yungaburra Fire Station,FNR,36,Auxiliary,39 Eacham Rd Yungaburra 4884,,07 4091 9290,
